Risk Scenario,Risk Type,Description,Related Controls,Other Names,Citations
Lack of training data transparency,Explainability & Transparency,"Without accurate documentation on how a model's data was collected, curated, and used to train a model, it may be harder to satisfactorily explain the behavior of the model with respect to the data. Data provenance issues may also increase legal risks (e.g., intellectual property infringement).","- CONTROL-009
- CONTROL-039",,
Lack of inference data transparency,Explainability & Transparency,Lack of inference data transparency: Insufficient visibility into data sources used during model inference,"- CONTROL-010
- CONTROL-011",,
Inadequate observability,Explainability & Transparency,"The AI system may lack sufficient logging or traceability features, making it difficult to monitor or audit its decision-making process after the fact.",- CONTROL-010,- Lack of transparency or interpretability (The AI Risk Repository),"- Slattery, P., Saeri, A. K., Grundy, E. A., Graham, J., Noetel, M., Uuk, R., ... & Thompson, N. (2024). The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence. arXiv preprint arXiv:2408.12622."
Black box decision-making,Explainability & Transparency,"The AI system's decision-making process may be opaque, even when the architecture is known, making it difficult to understand how the system arrives at its outputs or recommendations.","- CONTROL-011
- CONTROL-037","- Lack of transparency or interpretability (The AI Risk Repository)
- Unexplainable output (IBM AI risk atlas)","- Slattery, P., Saeri, A. K., Grundy, E. A., Graham, J., Noetel, M., Uuk, R., ... & Thompson, N. (2024). The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence. arXiv preprint arXiv:2408.12622.
- IBM. (2024). AI Risk Atlas. Retrieved [October 17, 2024], from https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas"
Stereotype perpetuation,Fairness & Bias,"The AI system's outputs may explicitly reflect or reinforce harmful stereotypes, prejudices, or biased characterizations of specific groups.","- CONTROL-014
- CONTROL-015
- CONTROL-016
- CONTROL-028","- Unfair discrimination and misrepresentation (The AI Risk Repository) 
- Harmful Bias and Homogenization (NIST)
- Output bias(IBM AI risk atlas)","- Slattery, P., Saeri, A. K., Grundy, E. A., Graham, J., Noetel, M., Uuk, R., ... & Thompson, N. (2024). The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence. arXiv preprint arXiv:2408.12622.
- IBM. (2024). AI Risk Atlas. Retrieved [October 17, 2024], from https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas

"
Unequal access to AI benefits,Fairness & Bias,"The AI system's benefits may not be equally accessible to all users, potentially resulting in reduced advantages for those with limited access. Accessibility may be affected by physical abilities, cognitive abilities, language, or technological access.","- CONTROL-014
- CONTROL-015
- CONTROL-016
- CONTROL-028",,"- European Commission: Directorate-General for Communications Networks, Content and Technology, Ethics guidelines for trustworthy AI, Publications Office, 2019, https://data.europa.eu/doi/10.2759/346720"
Toxic content,Harmful Content,"The AI system may generate or respond with hateful content, such as racist, sexist, or otherwise offensive material.","- CONTROL-017
- CONTROL-018
- CONTROL-019","- Toxic content (The AI Risk Repository)
- Toxic Output (IBM AI risk atlas)","- Slattery, P., Saeri, A. K., Grundy, E. A., Graham, J., Noetel, M., Uuk, R., ... & Thompson, N. (2024). The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence. arXiv preprint arXiv:2408.12622.
- IBM. (2024). AI Risk Atlas. Retrieved [October 17, 2024], from https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas
"
Obscene and sexually abusive content,Harmful Content,"The AI system may generate or disseminate content that is obscene, degrading, or sexually abusive, including child sexual abuse material (CSAM) or non-consensual intimate images (NCII).","- CONTROL-017
- CONTROL-018
- CONTROL-019","- Obscene, degrading, and/or abusive content (NIST) 
- Toxic content (The AI Risk Repository)","- Slattery, P., Saeri, A. K., Grundy, E. A., Graham, J., Noetel, M., Uuk, R., ... & Thompson, N. (2024). The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence. arXiv preprint arXiv:2408.12622.
- NIST. ""Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile."" (2024)."
Dangerous or violent content,Harmful Content,The AI system may produce content that incites violence or provides instructions for committing crimes.,"- CONTROL-017
- CONTROL-018
- CONTROL-019",- Harmful Output (IBM AI risk atlas),"- IBM. (2024). AI Risk Atlas. Retrieved [October 17, 2024], from https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas"
"Fraud, scams, and targeted manipulation",Malicious Use,"The AI system may be exploited to facilitate fraudulent activities, scams, or targeted manipulation, including generating deepfakes and enhancing phishing attacks.","- CONTROL-017
- CONTROL-018
- CONTROL-019
- CONTROL-022
- CONTROL-023",,
